Taxon,Genus,Species,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Esmaeilius sophiae,Esmaeilius,sophiae,1605355,Does not or is unlikely to produce sound under natural conditions,452075,
Esmaeilius vladykovi,Esmaeilius,vladykovi,1605359,Does not or is unlikely to produce sound under natural conditions,452075,
Esomus ahli,Esomus,ahli,1016027,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus altus,Esomus,altus,1021248,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus barbatus,Esomus,barbatus,1021867,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus bengalensis,Esomus,bengalensis,1493483,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus caudiocellatus,Esomus,caudiocellatus,1012034,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus danrica,Esomus,danrica,298263,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus lineatus,Esomus,lineatus,280716,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus longimanus,Esomus,longimanus,1015088,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus malabaricus,Esomus,malabaricus,1020774,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus malayensis,Esomus,malayensis,1007246,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus malayensis,Esomus,malayensis,1536316,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus manipurensis,Esomus,manipurensis,1011350,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus metallicus,Esomus,metallicus,280717,Likely to produce sound under natural conditions but unconfirmed,452075,
Esomus thermoicos,Esomus,thermoicos,1022213,Likely to produce sound under natural conditions but unconfirmed,452075,
Esox americanus,Esox,americanus,1021987,Does not or is unlikely to produce sound under natural conditions,452075,
Esox aquitanicus,Esox,aquitanicus,864782,Does not or is unlikely to produce sound under natural conditions,452075,
Esox cisalpinus,Esox,cisalpinus,1384614,Does not or is unlikely to produce sound under natural conditions,452075,
Esox lucius,Esox,lucius,154210,Produces active and passive sound under natural conditions,452049,
Esox masquinongy,Esox,masquinongy,1021830,Does not or is unlikely to produce sound under natural conditions,452075,
Esox niger,Esox,niger,888530,Does not or is unlikely to produce sound under natural conditions,452075,
Esox reichertii,Esox,reichertii,298218,Does not or is unlikely to produce sound under natural conditions,452075,
Etelis boweni,Etelis,boweni,1536489,Likely to produce sound under natural conditions but unconfirmed,452075,
Etelis carbunculus,Etelis,carbunculus,212545,Likely to produce sound under natural conditions but unconfirmed,452075,
Etelis coruscans,Etelis,coruscans,212544,Likely to produce sound under natural conditions but unconfirmed,452075,
Etelis oculatus,Etelis,oculatus,159789,Likely to produce sound under natural conditions but unconfirmed,452075,
Etelis radiosus,Etelis,radiosus,276518,Likely to produce sound under natural conditions but unconfirmed,452075,
Ethadophis akkistikos,Ethadophis,akkistikos,280720,Does not or is unlikely to produce sound under natural conditions,452075,
Ethadophis byrnei,Ethadophis,byrnei,280721,Does not or is unlikely to produce sound under natural conditions,452075,
Ethadophis merenda,Ethadophis,merenda,280724,Does not or is unlikely to produce sound under natural conditions,452075,
Ethmalosa fimbriata,Ethmalosa,fimbriata,280725,Likely to produce sound under natural conditions but unconfirmed,452074,
Ethmidium maculatum,Ethmidium,maculatum,280726,Likely to produce sound under natural conditions but unconfirmed,452075,
Etia nguti,Etia,nguti,1009696,Likely to produce sound under natural conditions but unconfirmed,452075,
Etroplus canarensis,Etroplus,canarensis,1383090,Likely to produce sound under natural conditions but unconfirmed,452075,
Etroplus suratensis,Etroplus,suratensis,280728,Likely to produce sound under natural conditions but unconfirmed,452075,
Etropus ciadi,Etropus,ciadi,275704,Does not or is unlikely to produce sound under natural conditions,452075,
Etropus crossotus,Etropus,crossotus,158799,Does not or is unlikely to produce sound under natural conditions,452075,
Etropus cyclosquamus,Etropus,cyclosquamus,158800,Does not or is unlikely to produce sound under natural conditions,452075,
Etropus delsmani,Etropus,delsmani,293596,Does not or is unlikely to produce sound under natural conditions,452075,
Etropus ectenes,Etropus,ectenes,275706,Does not or is unlikely to produce sound under natural conditions,452075,
Etropus longimanus,Etropus,longimanus,275708,Does not or is unlikely to produce sound under natural conditions,452075,
Etropus microstomus,Etropus,microstomus,158801,Does not or is unlikely to produce sound under natural conditions,452075,
Etropus pacificus,Etropus,pacificus,1524739,Does not or is unlikely to produce sound under natural conditions,452075,
Etropus peruvianus,Etropus,peruvianus,275709,Does not or is unlikely to produce sound under natural conditions,452075,
Etropus rimosus,Etropus,rimosus,158802,Does not or is unlikely to produce sound under natural conditions,452075,
Etrumeus acuminatus,Etrumeus,acuminatus,308314,Does not or is unlikely to produce sound under natural conditions,452075,
Etrumeus golanii,Etrumeus,golanii,890090,Does not or is unlikely to produce sound under natural conditions,452075,
Etrumeus makiawa,Etrumeus,makiawa,712436,Does not or is unlikely to produce sound under natural conditions,452075,
Etrumeus micropus,Etrumeus,micropus,217442,Does not or is unlikely to produce sound under natural conditions,452075,
Etrumeus sadina,Etrumeus,sadina,584793,Does not or is unlikely to produce sound under natural conditions,452075,
Etrumeus whiteheadi,Etrumeus,whiteheadi,217441,Does not or is unlikely to produce sound under natural conditions,452075,
Etrumeus wongratanai,Etrumeus,wongratanai,1007585,Does not or is unlikely to produce sound under natural conditions,452075,
Etsaputu relictum,Etsaputu,relictum,1007743,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubalaena australis,Eubalaena,australis,220222,Produces active sound under natural conditions,452119,"Geographic area: Golfo San José, ARG."
Eubalaena glacialis,Eubalaena,glacialis,159023,Produces active sound under natural conditions,452217,"Geographic area: Bay of Fundy, CAN."
Eubalaena japonica,Eubalaena,japonica,254974,Produces active sound under natural conditions,452183,"Geographic area: Bering Sea, USA."
Eubalichthys bucephalus,Eubalichthys,bucephalus,280729,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubalichthys caeruleoguttatus,Eubalichthys,caeruleoguttatus,280730,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubalichthys cyanoura,Eubalichthys,cyanoura,280731,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubalichthys gunnii,Eubalichthys,gunnii,280732,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubalichthys mosaicus,Eubalichthys,mosaicus,280733,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubalichthys quadrispinis,Eubalichthys,quadrispinis,712923,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubleekeria jonesi,Eubleekeria,jonesi,398524,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubleekeria kupanensis,Eubleekeria,kupanensis,398525,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubleekeria rapsoni,Eubleekeria,rapsoni,398526,Likely to produce sound under natural conditions but unconfirmed,452075,
Eubleekeria splendens,Eubleekeria,splendens,398527,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchilichthys astatodon,Euchilichthys,astatodon,1525499,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchilichthys boulengeri,Euchilichthys,boulengeri,1015495,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchilichthys dybowskii,Euchilichthys,dybowskii,1017633,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchilichthys guentheri,Euchilichthys,guentheri,1019609,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchilichthys ocellifer,Euchilichthys,ocellifer,1525501,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchilichthys royauxi,Euchilichthys,royauxi,1383121,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchiloglanis dorsoarcus,Euchiloglanis,dorsoarcus,1009076,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchiloglanis kishinouyei,Euchiloglanis,kishinouyei,1015491,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchiloglanis longibarbatus,Euchiloglanis,longibarbatus,1007873,Likely to produce sound under natural conditions but unconfirmed,452075,
